Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Build Quantity,Datasheet,Supplier 1,Supplier 1 Part Number,Capacitance,Rated Voltage,Temperature Coefficient,Supplier 1 Cost,Tolerance,Supplier 1 Currency,Vdss,Rds(on),Accuracy,Supplier Cost 1,Manufacturer Part Number 1,Supplier Part Number 1,Supplier Currency 1,Manufacturer 1,Type,Switching Current,Manufacturer Part Number
2,Unpolarized capacitor,C_Small,C1 C2 C3 C4,0.1uF,C_0603_HandSoldering,4,400,,,,,,,,,,,,,,,,,,,,
3,Unpolarized capacitor,C_Small,C6,1uF,C_0603_HandSoldering,1,100,,,,,,,,,,,,,,,,,,,,
4,1uF 0805 X5R 50V 10%,CL10A105KB8NNNC,C5,1uF,C_0805,1,100,http://www.samsungsem.com/kr/support/product-search/mlcc/__icsFiles/afieldfile/2016/08/18/S_CL10A105KB8NNNC.pdf,DigiKey,1276-1860-1-ND,1uF,50V,X5R,0.0653,10%,AUD,,,,,,,,,,,
5,2.2uF 0603 X7R 6.3V 10%,CL10B225KQ8NFNC,C8,2.2uF,C_0603,1,100,http://www.samsungsem.com/kr/front/downloadcms.do?path=/kr/support/product-search/mlcc/__icsFiles/afieldfile/2014/11/05&fileName=C_CL10B225KQ8NFNC.pdf,DigiKey,1276-2017-1-ND,2.2uF,6.3V,X7R,0.0337,10%,AUD,,,,,,,,,,,
7,,LED-RESCUE-Wild_Spy_Open_Source_Timer,D1,LED,LED_0603,1,100,,,,,,,,,,,,,,,,,,,,
10,Transistor P-MOSFET (general),Q_PMOS_GSD,Q1 Q2 Q3 Q4 Q5 Q6,AO3415,SOT-23-HandSoldering,6,600,http://aosmd.com/res/data_sheets/AO3415.pdf,DigiKey,785-1010-2-ND,,,,0.11771,,AUD,-20V,53mOhm,,,,,,,,,
11,Resistor,R,R4 R5 R6 R7,100k,R_0603_HandSoldering,4,400,,,,,,,,,,,,,,,,,,,,
12,Resistor,R,R1 R2 R8,10k,R_0603_HandSoldering,3,300,,,,,,,,,,,,5%,,,,,,,,
13,Resistor,R,R3,150k,R_0603_HandSoldering,1,100,,,,,,,,,,,,5%,,,,,,,,
14,Resistor,R,R9 R11,1k,R_0603_HandSoldering,2,200,,,,,,,,,,,,,,,,,,,,
15,Resistor,R,R10,2k,R_0603_HandSoldering,1,100,,,,,,,,,,,,,,,,,,,,
16,NO Reed Switch,ORD213,SW2,ORD213,ORD213S-1,1,100,https://standexelectronics.com/wp-content/uploads/OKI_Reed_Switch_ORD213.pdf,Digi Key,,,24 V,,,,,,,,2.07,ORD213S-1-1015,374-1087-ND,AUD,Standex-Meder Electronics,SPST-NO,100mA,
17,Button,SW_PUSH,SW1,SW_PUSH,KMT071NGJLHS_3x2.6mm_switch,1,100,,DigiKey,CKN10291CT-ND,,,,0.39,,AUD,,,,,,,,,,,
19,,ATSAMD21E16B,U5,ATSAMD21E16B,QFN-32-1EP_5x5mm_Pitch0.5mm,1,100,http://www.atmel.com/Images/Atmel-42181-SAM-D21_Datasheet.pdf,DigiKey,1611-ATSAMD21E18A-MUTCT-ND,,,,,,,,,,,,,,,,,ATSAMD21E18A-MUT
20,I2C RTC with Integrated Crystal,DS3232SN,U1,DS3232SN,SOIC-20_7.5x12.8mm_Pitch1.27mm,1,100,http://datasheets.maximintegrated.com/en/ds/DS3232.pdf,DigiKey,DS3232SN#T&RCT-ND,,,,12.4,,AUD,,,,,,,,,,,
21,,TPS70925DBVR,U2,TPS70933DBVR,SOT-23-5_HandSoldering,1,100,http://www.ti.com/lit/ds/symlink/tps709.pdf,DigiKey,296-35483-1-ND,,,,1.19,,AUD,,,,,,,,,,,
22,Dual N Channel MOSFETs,UM6K33N,U3 U4,UM6K33N,SC88(SOT363),2,200,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/um6k33n.pdf,DigiKey,UM6K33NTNTR-ND,,,,0.08638,,AUD,,,,,,,,,,,
23,micro connector,micro_USB,USB1,micro_USB,micro_USB,1,100,http://portal.fciconnect.com/Comergent//fci/drawing/10118192.pdf,DigiKey,609-4613-1-ND,,,,0.4163,,AUD,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Component Groups:,23,,,,,,,,,,,,,,,,,,,,,,,,,,
Component Count:,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitted Components:,41,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of PCBs:,100,,,,,,,,,,,,,,,,,,,,,,,,,,
Total components:,4100,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic Version:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic Date:,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoM Date:,Fri 12 May 2017 20:58:11 AEST,,,,,,,,,,,,,,,,,,,,,,,,,,
Schematic Source:,OSTBoardHardware/Wild Spy Open Source Timer.sch,,,,,,,,,,,,,,,,,,,,,,,,,,
KiCad Version:,Eeschema 4.0.2+dfsg1-stable,,,,,,,,,,,,,,,,,,,,,,,,,,
